Feature,Validity,Regression,Comment
Season,1,0,Match
Wk,1,0,Match
Date,0,0,Match
HomeTeam,1,0,Match
AwayTeam,1,0,Match
xG_Home,0,1,Match
xG_Away,0,1,Match
Score_Home,0,0,Match
Score_Away,0,0,Match
Result,1,0,Match
Away_Dist_Trvl,1,0,Match
Last5Home,1,0,Match
Last5Away,1,0,Match
Last19Home,1,0,Match
Last19Away,1,0,Match
Referee,0,0,Match
HomeTeam_# Pl,1,0,Season
AwayTeam_# Pl,1,0,Season
HomeTeam_Age,1,0,Season
AwayTeam_Age,1,0,Season
HomeTeam_Poss,0,0,Season
AwayTeam_Poss,0,0,Season
HomeTeam_MP,0,0,Season
AwayTeam_MP,0,0,Season
HomeTeam_Starts,0,0,Season
AwayTeam_Starts,0,0,Season
HomeTeam_Min,0,0,Season
AwayTeam_Min,0,0,Season
HomeTeam_Gls,0,0,Season
AwayTeam_Gls,0,0,Season
HomeTeam_Ast,0,0,Season
AwayTeam_Ast,0,0,Season
HomeTeam_PK,0,0,Season
AwayTeam_PK,0,0,Season
HomeTeam_PKatt,0,0,Season
AwayTeam_PKatt,0,0,Season
HomeTeam_CrdY,0,0,Season
AwayTeam_CrdY,0,0,Season
HomeTeam_CrdR,0,0,Season
AwayTeam_CrdR,0,0,Season
HomeTeam_Gls/90,0,0,Season
AwayTeam_Gls/90,0,0,Season
HomeTeam_Ast/90,0,0,Season
AwayTeam_Ast/90,0,0,Season
HomeTeam_G+A/90,0,0,Season
AwayTeam_G+A/90,0,0,Season
HomeTeam_G-PK/90,0,0,Season
AwayTeam_G-PK/90,0,0,Season
HomeTeam_G+A-PK/90,0,0,Season
AwayTeam_G+A-PK/90,0,0,Season
HomeTeam_xG,0,0,Season
AwayTeam_xG,0,0,Season
HomeTeam_npxG,0,0,Season
AwayTeam_npxG,0,0,Season
HomeTeam_xA,0,0,Season
AwayTeam_xA,0,0,Season
HomeTeam_xG/90,0,0,Season
AwayTeam_xG/90,0,0,Season
HomeTeam_xA/90,0,0,Season
AwayTeam_xA/90,0,0,Season
HomeTeam_xG+xA/90,0,0,Season
AwayTeam_xG+xA/90,0,0,Season
HomeTeam_npxG/90,0,0,Season
AwayTeam_npxG/90,0,0,Season
HomeTeam_npxG+xA/90,0,0,Season
AwayTeam_npxG+xA/90,0,0,Season
HomeTeam_Rk,0,0,Season
AwayTeam_Rk,0,0,Season
HomeTeam_Avg_Pl_Rating,1,0,Season
AwayTeam_Avg_Pl_Rating,1,0,Season
Team_MP_Home,0,0,Season
Team_W_Home,0,0,Season
Team_D_Home,0,0,Season
Team_L_Home,0,0,Season
Team_GF_Home,0,0,Season
Team_GA_Home,0,0,Season
Team_GDiff_Home,0,0,Season
Team_Pts_Home,0,0,Season
Team_Pts/G_Home,0,0,Season
Team_xG_Home,0,0,Season
Team_xGA_Home,0,0,Season
Team_xGDiff_Home,0,0,Season
Team_xGDiff/90_Home,0,0,Season
Team_MP_Away,0,0,Season
Team_W_Away,0,0,Season
Team_D_Away,0,0,Season
Team_L_Away,0,0,Season
Team_GF_Away,0,0,Season
Team_GA_Away,0,0,Season
Team_GDiff_Away,0,0,Season
Team_Pts_Away,0,0,Season
Team_Pts/G_Away,0,0,Season
Team_xG_Away,0,0,Season
Team_xGA_Away,0,0,Season
Team_xGDiff_Away,0,0,Season
Team_xGDiff/90_Away,0,0,Season
HomeElo,1,1,Match
AwayElo,1,1,Match
